Song,artist,Album,cover art,year Release
Clear eyes,Aidan Swank,Clear eyes,cmu://1012267/42233386/Screenshot+2025-10-22+2.14.05+AM.png,2018
The Love I Lost,Fried By Fluoride,The love I Lost,cmu://1012267/42233397/Screenshot+2025-10-22+2.17.14+AM.png,2023
under your spell ,Snow str***ers,under your spell,cmu://1012267/42233424/Screenshot+2025-10-22+2.26.14+AM.png,2023
Just your doll,Snow str***ers,just your doll,cmu://1012267/42233414/Screenshot+2025-10-22+2.25.18+AM.png,2024
Iâ€™m So f*cked up please help me,Rebzzyx,Iâ€™m So f*cked up please help me,cmu://1012267/42233442/Screenshot+2025-10-22+2.29.42+AM.png,2025
We fell Apart,ANGUISH,Marina,cmu://1012267/42233450/Screenshot+2025-10-22+2.32.37+AM.png,2024
Number,T**rkation28,number,cmu://1012267/42233457/Screenshot+2025-10-22+2.35.01+AM.png,2025
Missing Textures (Super Slowed Down),NIVEK FFORHS,Missing Textures (Super Slowed Down),cmu://1012267/42233471/Screenshot+2025-10-22+2.37.52+AM.png,2024
ğ‘µğ’ğ’‘ğ’† ğ’šğ’ğ’–ğ’“ ğ’•ğ’ğ’ ğ’ğ’‚ğ’•ğ’† I ğ’‚ğ’ğ’“ğ’†ğ’‚ğ’…ğ’š ğ’…ğ’Šğ’†ğ’…,ğ‘¾ğ’Šğ’‡ğ’Šğ’”ğ’Œğ’†ğ’ğ’†ğ’•ğ’ğ’,Nope your too late I already died,cmu://1012267/42233475/Screenshot+2025-10-22+2.38.54+AM.png,2024
Wutiwant,SARAUNHOLY,Wutiwant,cmu://1012267/42233485/Screenshot+2025-10-22+2.41.25+AM.png,2024